movieNm,director,company,distributor,openDt,nation,screen_cnt,audi_cnt,genre,rating,audi_score,exp_score,holiday,actor1,actor2,actor3,actor4,dir_score,actor1_score,actor2_score,actor3_score,actor4_score,dist_score,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,SF,Thriller,War,12_rating,15_rating,20_rating,all_rating
소원택시,박창진,(주)마부엔터테인먼트,마부엔터테인먼트,2013-10-04,한국,2,283,Drama,20_rating,6.77,4.93,0,장성원,오인혜,한소영,김선영,45638,8307,45638,31713,5067,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
공즉시색,김현빈,"(주)영화사 사계절,펀펀한영화사",영화사 사계절,2015-11-26,한국,20,271,Romance,20_rating,6.96,5.07,0,김화연,지은서,박초현,이아름,271,271,271,271,271,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
수목장,박광춘,(주)노마드필름,주식회사 마운틴픽쳐스,2012-11-15,한국,2,263,Horror,20_rating,4.09,2,0,이영아,온주완,박수진,연제욱,263,263,1441964,263,263,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
아빠가 돌아왔다,윤여창,굿픽처스,조이앤시네마,2016-05-19,한국,1,220,Family,15_rating,4.94,2,0,조동혁,조원빈,홍아름,이용녀,2492,4472,220,220,220,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
노크,이주헌,(주)노마드필름,주식회사 마운틴픽쳐스,2012-11-29,한국,3,203,Horror,20_rating,3.42,2,0,서우,현성,백서빈,주민하,203,1245,203,203,203,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
사랑을 말하다,전화성,크리에이티브컴즈(주),크리에이티브컴즈,2012-09-13,한국,2,188,Drama,15_rating,5.59,4.07,0,서예희,윤혁진,최은채,김원희,188,188,188,188,188,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
실종: 사라진아내,노병하,(주)영화사희망,주식회사 루믹스미디어,2016-11-01,한국,20,185,Thriller,20_rating,10,7.29,0,정겨운,윤아민,이재용,한유림,185,185,185,4786259,185,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
처음엔 다 그래,박선재,컨버전스티비,컨버전스티비,2017-09-14,한국,16,176,Romance,20_rating,3.89,2.84,0,하나경,이형석,최영성,라리사,176,176,96077,176,176,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
스물 아홉살,전화성,씨엔티테크(주),씨엔티테크,2011-03-07,한국,1,166,Drama,12_rating,7.72,5.63,0,박재준,김영무,박규리,김아현,188,166,166,166,166,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
사촌여동생,양호열,케이제이픽처스,케이제이픽처스,2017-06-13,한국,20,165,Drama,20_rating,8.17,5.96,0,유지원,박선우,한나,김종신,165,165,165,165,165,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
특이점이 온 영화,공자관,밀크픽처스,밀크픽처스,2017-03-07,한국,20,165,Comedy,20_rating,6.32,4.61,0,YOU,김연수,위지웅,지연,1161,165,1161,165,165,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
킬링 타임,박성수,"(주)데이드림서울,(주)팔라우픽쳐스",데이드림서울,2012-03-15,한국,1,155,Horror,20_rating,5.59,4.07,0,정애연,이지혜,김진근,김병춘,155,155,155,155,472,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
아버지는 개다,이상우,이상우 필름,이상우 필름,2012-04-26,한국,1,144,Drama,20_rating,5.65,4,0,권범택,이광수,이시호,김헌,144,144,4598583,144,144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
여자전쟁: 여자의 이유,송창수,(주)베르디미디어,TCO더콘텐츠온,2017-01-17,한국,21,132,Drama,20_rating,4.44,3.24,1,김세인,라용,안상회,김기현,132,132,132,132,132,222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
폐교,최효원,(주)유비네트워크,유비네트워크,2019-09-05,한국,20,113,Horror,15_rating,3.15,1,1,천이슬,이윤수,서도현,황명환,113,113,113,113,113,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
슬픈남자,방현준,비에이치제이 시네마,비에이치제이 시네마,2015-12-10,한국,1,109,Action,20_rating,10,7.29,0,서제일,이제관,이양희,함천길,310,310,310,109,109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
머피와 샐리의 법칙,김문옥,"시네마테크 충무로,스마일픽쳐스",에이 라이프,2020-05-20,한국,1,106,Comedy,12_rating,9.89,7.21,0,최미교,박태을,이정민,정인철,1067,106,106,106,1067,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
이불,김한준,(주)대양미디어,대양미디어,2014-12-30,한국,1,92,Comedy,20_rating,5.73,4.18,0,정이슬,성인석,박정아,박석현,92,92,92,92,92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
외계인들,김한규,한손필름,엘케이픽쳐스,2014-12-31,한국,1,54,Comedy,15_rating,5.81,4.23,0,김한규,손병희,김진희,한기중,54,54,54,54,714102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
청불학원,최무연,(주)로드하우스,로드하우스,2017-03-14,한국,1,54,Romance,20_rating,6.09,4.44,0,김민수,유지원,오주하,조완진,54,678,165,54,54,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
배꼽,박보상,"(주)태원엔터테인먼트,지오엔터테인먼트",타임스토리그룹,2013-01-17,한국,1,50,Family,20_rating,5.73,4.18,0,김승우,이미숙,천호진,김효진,50,168049,616481,2434099,1212270,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
시호,홍수동,영화사청춘 주식회사,주식회사 마운틴픽쳐스,2020-02-27,한국,6,42,Romance,20_rating,5.24,4,0,신은경,윤희석,도우,진혜경,42,45638,42,42,42,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
90분,박선욱,(주)사람과사람,키노아이디엠씨,2012-08-23,한국,1,42,Thriller,20_rating,3.68,2.67,0,주상욱,장미인애,고정민,권민,42,1246185,42,42,42,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
아줌마...줌마들의반란,김문옥,"시네마테크 충무로,스마일픽쳐스",영화사 조은,2016-01-07,한국,1,37,Drama,20_rating,7.88,5.74,0,김미영,주하린,나유경,박효근,1067,3165,37,37,37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
미션: 톱스타를 훔쳐라,노병하,(주)영화사희망,드림팩트엔터테인먼트,2015-09-03,한국,2,34,Action,20_rating,10,7.29,0,오창석,정헌,김주리,윤아민,185,1245,34,34,185,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
